name;area;employer;salary;experience;monthly_hours
Продавец (МАЯК, Московский, 119);Витебск;Доброном;;0;180.0
Оператор 1С;Краснодар;Бирсиб;60000.0;1;168.0
Программист 1С: УНФ;Челябинск;Красное & Белое, розничная сеть;;3;168.0
Оператор 1С;Ахтубинск;АстМаркет;30000.0;0;168.0
Оператор 1С;Казань;Смайл Лоджистик;50000.0;0;180.0
Оператор 1С;Краснодар;Монте;52000.0;1;168.0
Оператор ПК / 1С-менеджер (Московское ш. 179);Санкт-Петербург;СЕРВИС ЛОГИСТИКА;76000.0;1;168.0
Администратор магазина (Давлеканово, Карла Маркса, 121);Давлеканово;Пятёрочка;43300.0;1;
Программист 1С;Владивосток;ВЛ-Автоматизация;55000.0;0;168.0
Аналитик данных 1С;Нижний Новгород;Свит Лайф Фудсервис;68000.0;1;168.0
Бизнес-аналитик 1С;Москва;Окно ТВ;;3;168.0
Менеджер по работе с поставщиками;Волгоград;ГК УралМетПром;140000.0;1;168.0
Бухгалтер по работе с клиентами 1С;Оренбург;МастерСофт;60000.0;1;168.0
Программист 1С;Ступино (Московская область);Московские окна, Ступино;200000.0;1;168.0
Специалист НСИ 1С ERP;Липецк;СПССПК ЭКОПТИЦА;;1;168.0
Оператор 1С / Помощник менеджера отдела снабжения (БЭК - офис);Котельники  (Московская область);Группа компаний ЭМИЛИНК;80000.0;0;168.0
Администратор Сборщик Даркстора (Мира 19);Обнинск;Самокат (ООО Умный ритейл);67160.5;0;168.0
Рекрутер 1С;Смоленск;Простые решения;80000.0;1;168.0
Программист/Разработчик 1С;Москва;ЛЕОН-ГРУПП;200000.0;3;168.0
Руководитель проектов 1С:Документооборот;Москва;1С-КПД;220000.0;3;168.0
Программист 1С;Челябинск;Группа Компаний LD;180000.0;1;168.0
Администратор магазина (Орджоникидзе, 27/1);Кимры;МАГНИТ, Розничная сеть;60550.0;0;180.0
Программист 1C / Специалист IT;Барнаул;ПС;100000.0;1;168.0
Программист-консультант 1С;Тула;Калужский Турбинный Завод;;1;168.0
Оператор 1С оптового отдела;Чита;Автолидер;62500.0;1;168.0
"Аналитик/Архитектор 1С (ФГУП ""ГХК"", г. Железногорск)";Железногорск (Красноярский край);Гринатом;175000.0;3;168.0
Программист 1С ERP;Майкоп;Южная Соковая Компания;;3;168.0
Распределитель работ/оператор 1С ERP;Набережные Челны;СП ДЕТАЛЬ;65000.0;1;168.0
Пекарь (Москва, Свободы, 91);Москва;Перекрёсток;85000.0;0;132.0
Фармацевт (13-й военный городок, дом 21Б);Алматы;Садыхан Социальная Аптека;28500.0;1;240.0
Оператор 1С Управление Торговлей;Самара;Дом цветов;53500.0;1;180.0
Оператор 1с;Южно-Сахалинск;Пинигин Даниил Сергеевич;70000.0;1;168.0
Диспетчер/Оператор 1С (документы);Санкт-Петербург;Транс-Цем;62500.0;1;168.0
Разработчик 1С (Бухгалтерия);Екатеринбург;Бристоль, сеть магазинов;;6;168.0
Ведущий программист 1С;Тула;Здравсервис (Здесь Аптека, Твой Доктор);200000.0;3;168.0
Водитель категории С, Е;Можайск (Московская область);Инсталл Профи;150000.0;3;
Оператор 1С - помощник менеджера;Москва;PARLY;90000.0;1;168.0
Оператор 1с;Барнаул;АТК;72500.0;1;168.0
Консультант 1С;Сыктывкар;Содействие;;1;168.0
Администратор магазина (Ясная, 1);Апрелевка (Московская область);МАГНИТ, Розничная сеть;70800.0;0;180.0
Программист-разработчик 1С;Иркутск;Первый Бит;80000.0;1;168.0
Администратор (ул. Октябрьская 16);Красноярск;Вектор Восток;50000.0;0;168.0
Ведущий инженер-программист 1С;Великий Новгород;АгроАльянсРазвития;200000.0;3;168.0
Оператор 1С;Тверь;GRASS Маркет;50000.0;1;168.0
Продавец (ул. Торосова, 21);Абакан;Бристоль, сеть магазинов;57500.0;0;
Руководитель отдела продаж 1С;Москва;Ассистент;;1;168.0
Аналитик 1С (ERP, регламентированный учет);Тула;СТАНДАРТПАРК;230000.0;1;168.0
