name;area;employer;salary;experience;monthly_hours
Логист (собственный автопарк);Подольск (Московская область);Сияние ТК;95000.0;1;168.0
Логист на привлеченный транспорт;Москва;АРГО Логистик;125000.0;1;
Логист;Казань;АМТ;137500.0;1;168.0
Диспетчер-логист 3/3;Москва;МЛСТ;115000.0;3;165.0
Специалист по логистике;Ростов-на-Дону;Аурлайн;190000.0;6;168.0
Менеджер по транспортной логистике / логист;Березовский (Свердловская область);Домотэкс;70000.0;1;168.0
Logistics Specialist;Алматы;РОКА Казахстан;;3;168.0
Логист;Москва;Официальное представительство Фабрики Уральские пельмени и Фабрики мороженого РосФрост;120000.0;1;168.0
Диспетчер-логист;Тула;СИЭЛЬ;60000.0;1;180.0
Логист;Екатеринбург;Велесстрой;145000.0;1;
Логист / Менеджер по логистике;Санкт-Петербург;Dest мебель;100000.0;1;168.0
Логист по ЖД/ Менеджер по железнодорожной логистике;Екатеринбург;ЮДжейПи;160000.0;1;168.0
Логист-технолог на склад;Нижний Новгород;5POST;85000.0;1;168.0
Менеджер по логистике;Астана;Астык Логистик;71250.0;3;168.0
Менеджер по логистике;Курск;Курское молоко;90000.0;1;168.0
Менеджер по логистике и ВЭД;Санкт-Петербург;Фреш Энд Гуд;87500.0;1;168.0
Менеджер по логистике;Костанай;СТА ПРАЙМ;67500.0;0;168.0
Логист по работе с привлеченным транспортом;Красноярск;Delko;110000.0;1;168.0
Логист / экспедитор;Минск;Индастриал Карго;;1;168.0
Логист на погрузчик;Владимир;Ростелеком;56750.0;0;168.0
Логист;Новосибирск;4 Колеса;;1;168.0
Логист по международным перевозкам;Москва;Холдинг-Финанс Брокер;140000.0;1;168.0
Ведущий специалист по логистике (железнодорожные, контейнерные перевозки);Алматы;TengizTransGroup (ТенгизТрансГрупп);;3;168.0
Логист;Балашиха (Московская область);Три-С Фуд;120000.0;1;168.0
Менеджер по логистике;Самара;Деловые Линии;;1;180.0
Менеджер по логистике (экспедитор);Воронеж;ТК Страйк;190000.0;1;168.0
Ночной менеджер по логистике;Казань;Ozon;71500.0;1;165.0
Менеджер по логистике и ВЭД;Краснодар;Цифромаркет;85000.0;3;168.0
Менеджер по логистике;Бердянск;Автодоринжиниринг;65000.0;0;168.0
Специалист по управлению товарными запасами (Логист);Хабаровск;Компания Санвэй;80000.0;1;168.0
Помощник логиста;Воронеж;Биолот;50000.0;0;168.0
Упаковщик-логист;Москва;БЮРО 1440;;1;168.0
Диспетчер - Логист (собственный транспорт);Мытищи (Московская область);Транспортная Компания Технология Движения;;1;160.0
Логист;Йошкар-Ола;СИСТЭМ ЭЛЕКТРИК;;1;168.0
Помощник логиста;Алматы;DAUSCHER ELEKTRIK COMPANY;41250.0;1;168.0
Менеджер по логистике (операционист);Алматы;SIMPLE ASSIST;;1;168.0
Менеджер по логистике;Новосибирск;ГК Никополь;195000.0;1;168.0
Логист/Менеджер по привлечению транспорта;Екатеринбург;Павенко Светлана Раисовна;100000.0;1;168.0
Старший менеджер по логистике;Москва;Партнер;120000.0;1;168.0
Менеджер по логистике;Новоселье (Ленинградская область);ТРАНСЛОГИСТИКА;80000.0;0;168.0
Менеджер по логистике (Логист);Алматы;Best Products Company;52500.0;1;168.0
Менеджер по логистике;Краснодар;Поставляем Как Себе;70000.0;0;147.0
Логист-диспетчер;Нефтеюганск;КР ГРУПП;75000.0;3;165.0
Старший менеджер по логистике и ВЭД;Санкт-Петербург;DELASIA;130000.0;1;168.0
Специалист по логистике;Новороссийск;Велес Форвардинг;;3;168.0
Менеджер по логистике (логист на производство);Бишкек;ОсОО Айта Групп;;1;184.0
Менеджер по отгрузкам (логист);Новосибирск;Нетворк Солюшнс;60000.0;1;168.0
Кладовщик-логист;Москва;LS.NET.RU;95000.0;1;
Логист;Астана;Sau Med Group;45000.0;0;147.0
Помощник логиста;Белгород;Элит Сервис;50000.0;1;168.0
Менеджер отдела логистики;Гулькевичи;Рустарк;45000.0;1;168.0
Диспетчер-логист;Саранск;Дентро;85000.0;0;168.0
Менеджер по логистике и закупкам;Нижний Новгород;Каскад;90000.0;1;168.0
Специалист по логистике;Екатеринбург;Мегадента;100000.0;1;168.0
Операционный логист;Минск;Пан-Инвест;;1;168.0
Менеджер по логистике;Барнаул;ТК Кристалл;75000.0;1;126.0
Ведущий менеджер по логистике (Международные перевозки, ВЭД);Москва;Апекстранзит;150000.0;6;168.0
Менеджер по логистике;Краснодар;Фотон-Инвест;120000.0;1;168.0
Логист сервисного центра (ул. 50-летия Ростсельмаша);Ростов-на-Дону;Сеть магазинов цифровой и бытовой техники DNS;74712.0;0;168.0
Логист (экспедиция);Самара;М-Групп;140000.0;1;168.0
Логист - Диспетчер;Чита;НЕРГЕОПРОМ;;3;
Специалист по логистике;Москва;Хомченко Максим Альбертович;70000.0;1;168.0
Логист;Шлиссельбург;Северная, Птицефабрика;;1;
Менеджер по логистике;Астана;AZMT;52500.0;1;168.0
Менеджер по логистике (автоперевозки по РФ);Санкт-Петербург;АТВ (Art of transport business), транспортная компания;90000.0;1;168.0
Логист;Ростов-на-Дону;Логистическая Компания Автолайф;200000.0;1;207.0
Менеджер по логистике;Орск;ТЛК-Групп;78000.0;0;168.0
Кладовщик-логист;Владивосток;Кит24;90000.0;1;175.0
Логист;Нижний Новгород;ТЭК Управление транспортом;50000.0;1;168.0
Менеджер по логистике/логист;Ярославль;Автолюкс;110000.0;1;168.0
Логист по транспорту;Казань;Куприянова Дарья Дмитриевна;105000.0;0;168.0
Старший логист;Клин (Московская область);ГофроМир;;1;168.0
Менеджер по логистике;Санкт-Петербург;Сотка;80000.0;1;168.0
