name;area;employer;salary;experience;monthly_hours
Ведущий кассир (ул. Хасанская);Санкт-Петербург;Лента, федеральная розничная сеть;75100.0;1;
Специалист по подключению интернета;Иркутск;Ростелеком;75000.0;0;165.0
Ведущий экономист службы по работе с обеспечением исполнения обязательств;Октябрьский (Архангельская область);Россельхозбанк;63000.0;1;168.0
Педагог-психолог;Санкт-Петербург;ГБОУ СОШ №75 с углубленным изучением немецкого языка Петроградского района Санкт-Петербурга;70000.0;3;168.0
Продавец в гипермаркет (м. Новокосино);Москва;Лента, федеральная розничная сеть;76800.0;0;
Начальник производства (Казачья улица);Самара;Лента, федеральная розничная сеть;;3;
Педагог-психолог;Краснодар;ГБОУ Краснодарского Края Специальная (Коррекционная) Школа № 15 г. Краснодара;60000.0;3;168.0
Тренер по растяжке / пилатесу в студию Отрадное (Красногорск);Красногорск (Московская область);LAB SPACE;140000.0;0;105.0
Медицинский психолог в детскую больницу;Ярославль;БУЗ Вологодской области Вологодская областная детская клиническая больница;45600.0;0;
Сотрудник по охране физических лиц;Москва;ОМОН Главного управления Росгвардии по г. Москве;130000.0;0;112.0
Администратор склада в Ozon Fresh (Богатырская 64);Краснодар;Ozon;81000.0;1;165.0
Педагог-психолог;Уфа;ГБУ РБ РЦППМСП;50000.0;1;147.0
Администратор;Санкт-Петербург;Вл-Клиника;3000.0;1;150.0
Заместитель начальника мясного производства (ул. Энергетиков);Челябинск;Лента, федеральная розничная сеть;94500.0;1;
Психолог;Самарканд;АГРО ПЛЮС;2992.5;3;100.0
Семейный психолог в клинику психотерапии и психиатрии Нейро-Пси (г. Екатеринбург);Екатеринбург;Нейро-Пси;120000.0;3;67.0
Медицинский психолог;Кашира (Московская область);ГБУЗ Московской Области Каширская Больница;100000.0;1;168.0
Начинающий агент по недвижимости;Воронеж;Этажи Центр;100000.0;0;168.0
Кабельщик-спайщик;Тамбов;Ростелеком;46000.0;0;168.0
Психолог службы экстренного реагирования;Челябинск;МКУ СО Кризисный центр;32000.0;1;168.0
Специалист по работе с бизнес клиентами B2B (входящие звонки);Челябинск;T2;48500.0;0;168.0
Пекарь-универсал (улица Рокоссовского);Оренбург;Лента, федеральная розничная сеть;53000.0;0;
Логопед;Санкт-Петербург;Частная Школа РИД School;65000.0;3;126.0
Медицинский психолог г.Сарапул;Ижевск;БУЗ УР Республиканский Клинический Центр Психического Здоровья Министерства Здравоохранения Удмуртской Республики;43000.0;0;147.0
Продавец в гипермаркет (Борисовское шоссе);Серпухов (Московская область);Лента, федеральная розничная сеть;76800.0;0;
Продавец (улица Фрунзе);Екатеринбург;Лента, федеральная розничная сеть;60500.0;0;120.0
Водитель погрузчика/Водитель электроштабелера (ул. Николая Островского);Астрахань;Лента, федеральная розничная сеть;56500.0;0;
Администратор склада Ozon Fresh (ул. Богатырская);Краснодар;Ozon;80850.0;0;165.0
Кабельщик-спайщик;Новый Уренгой;Ростелеком;121000.0;0;168.0
Наставник/учитель в частную закрытую школу;Оренбург;Школа рекламы;100000.0;0;
Менеджер службы поддержки (английский язык);Владивосток;Гуру сервис;90000.0;1;168.0
Педагог-психолог;Краснодар;ГБПОУ КК Краснодарский торгово-экономический колледж;30000.0;1;200.0
Психолог;Сургут;Полимедика;70000.0;1;
Менеджер по продажам медицинских услуг (розничный сегмент);Тверь;KDL;86300.0;1;168.0
Полиграфолог;Уфа;УФССП России по Республике Башкортостан;3500.0;1;168.0
Тьютор/наставник для подростка;Москва;Палитрон;100000.0;3;126.0
Автор студенческих работ (по психологии);Москва;Студворк;110000.0;1;168.0
Инструктор по физической культуре;Новоалтайск;Частное Дошкольное Образовательное учреждение Ржд Детский Сад № 48;27500.0;1;84.0
Стоматолог-терапевт;Пермь;Клиника стоматологии и эстетики Амарис;120000.0;3;180.0
Специалист по безопасности (Таллинское шоссе);Санкт-Петербург;Лента, федеральная розничная сеть;71250.0;1;
Менеджер по инвестиционно-страховым продуктам;Красноярск;Газпромбанк;200000.0;1;189.0
Врач-эндокринолог;Уфа;Олимп;40000.0;1;45.0
Гувернантка/гувернер к мальчику 15 лет с ОВЗ;Москва;Кадровое Агентство CLEVER;160000.0;3;157.5
Продавец-консультант табачных изделий (улица Дмитрия Мартынова);Красноярск;Лента, федеральная розничная сеть;71000.0;0;120.0
Корпоративный психолог;Минск;ИВЦ Минфина;;3;168.0
Менеджер;Казань;Color Box;115000.0;0;168.0
Менеджер по подбору персонала;Москва;Safe-tec;;1;168.0
Медицинский психолог (стационар);Иркутск;ОГАУЗ МЕДСАНЧАСТЬ ИАПО;45000.0;1;
Ревизор;Березники;МАГНИТ, Розничная сеть;61100.0;1;
Менеджер по координации процессов (Урхов переулок);Санкт-Петербург;Лента, федеральная розничная сеть;98150.0;1;168.0
Администратор стойки информации (Говорово);Московский (Московская область);Лента, федеральная розничная сеть;78000.0;0;
Психолог;Актобе;NEWLIFE.A;30000.0;1;
Нейропсихолог;Москва;Детская академия речи;122500.0;1;137.5
Медицинский психолог;Саранск;ГБУЗ Республики Мордовия Родильный дом;36500.0;0;168.0
Учитель -дефектолог;Минск;Михановичская средняя школа;;1;175.0
Психолог 1 категории;Уссурийск;КГАУСО ПЦСОН;61500.0;1;168.0
"Продавец за витрину (ТЦ ""РИО"")";Москва;Лента, федеральная розничная сеть;76000.0;0;
"Повар в столовую (ТЦ ""Галеон"")";Москва;Лента, федеральная розничная сеть;80500.0;0;
Гувернантка/Гувернер для детей 8 и 4 лет;Алматы;Алазани;;3;250.0
Специалист по массажу и SPA / Массажист;Краснодар;Флоат-центр Тишина;90000.0;3;180.0
Водитель автомобиля группы МХТО;Волгоград;ГРЧЦ, ФГУП;35760.0;1;168.0
Менеджер по Продажам VIP клиентам / Коуч / Психолог (входящие заявки);Санкт-Петербург;LifeStyleGroup;200000.0;1;
Воспитатель;Санкт-Петербург;ГБДОУ № 76;50000.0;0;147.0
Менеджер по продажам курсов психологии;Санкт-Петербург;Частный рекрутер;250000.0;1;168.0
Инженер-энергетик;Липецк;Ростелеком;60000.0;1;168.0
Медицинская сестра/медицинский брат в детский сад;Алматы;ALEM LTD (Wellness Club LUXOR);34500.0;1;210.0
Педагог-психолог;Самара;Детский сад №300, МДОУ;33000.0;1;
Ночной администратор даркстора (пр-кт Маршала Жукова 74к3);Москва;Ozon;108000.0;1;165.0
Психолог;Новоульяновск;Филиал областного государственного казенного учреждения Кадровый центр Ульяновской области в г.Новоульяновске;37500.0;1;168.0
Психолог;Екатеринбург;Уральский филиал Центра экстренной психологической помощи МЧС России;42000.0;0;168.0
"Психолог филиала ГКУ ВО ""ЦЗН Владимирской области"" - ""Гороховецкий""";Гороховец;ГКУ ВО ЦЗН Владимирской области;35000.0;1;168.0
Педагог-психолог;Екатеринбург;ГАНОУ СО Дворец водных видов спорта со структурным подразделением Спортивная школа имени А.В. Попова;70000.0;3;168.0
Младший специалист по обучению персонала;Санкт-Петербург;Улыбка радуги;68000.0;0;168.0
"Продавец-консультант косметического бренда Локситан в ТРК ""Лондон Молл""";Санкт-Петербург;ЛОКСИТАН РУС;40000.0;0;
Командный тренер / Спортивный тренер;Калуга;Школа Мужества;105000.0;1;
Педагог-психолог;Москва;Правительство Москвы;;1;168.0
Cпециалист по сервису (Продавец-консультант);Усть-Каменогорск;Beeline, ТМ;;1;168.0
Менеджер по работе с клиентами;Саратов;Этажи Поволжье;200000.0;0;
Агент по сопровождению сделок;Москва;Этажи Москва;250000.0;0;168.0
Менеджер по транспорту в Ozon Fresh;Подольск (Московская область);Ozon;91000.0;1;168.0
CPO/Chief Product Officer/Директор по развитию продуктов;Москва;Защищенные Телекоммуникации;;3;168.0
Психолог;Пермь;ГБУ ПК Центр социальной адаптации г. Перми;37000.0;1;168.0
Тренер по плаванию;Казань;Океанит;40000.0;1;
Педагог-психолог;Симферополь;МБДОУ 7 Жемчужинка;33500.0;0;147.0
Педагог-психолог в лицей «Инфотех»;Йошкар-Ола;iSpring;55000.0;1;184.0
Врач скорой медицинской помощи;Тюмень;Государственное бюджетное учреждение здравоохранения Тюменской области Станция скорой медицинской помощи;120000.0;0;
Монтажник электрооборудования летательных аппаратов (ЛА);Москва;Машиностроительное конструкторское бюро Факел имени академика П.Д.Грушина;120000.0;3;168.0
Организационный психолог (ИТЦ ДЖЭТ);Москва;Росатом Сервис;;3;168.0
Детский психолог в садик;Краснодар;ЧОУ РОМАНОВСКАЯ ГИМНАЗИЯ;40000.0;3;168.0
Обвальщик-жиловщик мяса (Московский пр-т);Воронеж;Лента, федеральная розничная сеть;60000.0;0;
Автор студенческих работ по психологии в Москве;Москва;Умный Бренд;80000.0;0;34.0
Старший администратор-кассир;Москва;МЕДСКАН;133000.0;1;168.0
Менеджер по продажам стоматологических материалов и оборудования;Кызылорда;А стом.KZ;82500.0;1;168.0
Куратор лечения / Координатор / Менеджер по продажам;Реутов (Московская область);Анидент 22;200000.0;1;180.0
Продавец-консультант бездымных систем (ТЦ Зеленопарк);Зеленоград;ANCOR;99000.0;0;
