name;area;employer;salary;experience;monthly_hours
Backend / Infra Engineer (SysOps / MLOps);Москва;Оператор Газпром ИД;;3;176.0
Middle Python developer (Django/FastAPI) AdTech (в офисе);Москва;Hyper AdTech;;3;176.0
Эксперт по анализу расходов и аллокации;Москва;Банк ВТБ (ПАО);;1;176.0
QA Automation Engineer(Python) Сетевой ОС;Москва;Бифорком Тек;;3;176.0
Fullstack разработчик (Python / FastAPI);Новосибирск;СИСТЭМ ЭЛЕКТРИК;;3;176.0
Mobile QA инженер (ручное+автотестирование, Python);Москва;Лига Ставок;;3;176.0
Инженер SRE\DevOps;Санкт-Петербург;ТестОпс;;3;176.0
Middle QA Engineer;Астана;Cuman;;1;176.0
Инженер-программист встроенного ПО;Москва;КБ НАВИС;;1;176.0
Data Analyst;Минск;MaxLine;;1;176.0
Сетевой инженер-аналитик;Москва;РДП Энтерпрайз;;1;176.0
Junior Python developer;Алматы;Emphasoft;;0;176.0
Тестировщик-автоматизатор;Тбилиси;JT marketing;;3;176.0
Инженер-конструктор;Нижнекамск;Питон Кама;80460.0;1;176.0
Руководитель направления внутреннего аудита (Крым, г. Ялта);Москва;Мрия (Mriya Resort);;3;176.0
Junior - разработчик систем;Москва;GRUSHKA;140000.0;0;198.0
Full-stack Разработчик (Django, React);Москва;Рамтроника;100000.0;1;176.0
Python разработчик (неоплачиваемая практика);Санкт-Петербург;Газпром ЦПС;;0;176.0
Python-разработчик;Екатеринбург;Аватри;120000.0;1;176.0
Аналитик-стажер / Начинающий специалист (Продуктовые метрики, Excel, Python);Москва;ЕвроХим, Минерально-Химическая Компания;;0;176.0
Data Analyst / Product Analyst;Санкт-Петербург;Софтвайс;250000.0;3;176.0
DevOps / SRE-инженер (Senior / Lead);Москва;Первая Форма;;6;176.0
Разработчик на Python / JavaScript / Node.js;Омск;Интернет РЕВОЛЮЦИЯ;70000.0;1;176.0
Senior Python-разработчик;Самара;СБЕР;;3;176.0
Python-разработчик (Django);Санкт-Петербург;Shtab;150000.0;1;187.0
Senior Python Developer;Санкт-Петербург;Evercode Lab;;6;176.0
Тестировщик;Москва;Новейшие Технологии ЛС;170000.0;3;176.0
Исполнительный директор по расчету резервов (МСФО);Москва;Россельхозбанк;;1;176.0
Руководитель направления BIM;Москва;ЛАНИТ;;3;176.0
Data Engineer;Москва;Автономные Технологии;;1;176.0
Тестировщик веб-продуктов (QA-инженер);Ростов-на-Дону;Вебпрактик;;3;176.0
Инженер по информационной безопасности (проектирование);Санкт-Петербург;Альтиус Лаб;;3;176.0
ML инженер;Москва;ИЦ АЙ-ТЕКО;;3;176.0
DevOps Engineer;Санкт-Петербург;PLC.01;;3;176.0
Fullstack-разработчик, Tech lead;Нижний Новгород;Ит Франчайзинг;;3;176.0
Senior Data Engineer (Python);Москва;ArtVolkov.ru;365000.0;3;176.0
Python-разработчик;Минск;АЛЬФА-БАНК;;3;176.0
Python-разработчик;Москва;ТЕХНОЛОГИИ ОТРАСЛЕВОЙ ТРАНСФОРМАЦИИ;;3;176.0
Python-разработчик;Екатеринбург;ROIburo;165000.0;3;176.0
GIS and RS Analyst;Ташкент;Национальный комитет Республики Узбекистан по статистике;133000.0;1;192.0
Внутренний аудитор (розничная сеть магазинов);Санкт-Петербург;АйСи Инвест;;1;176.0
Автоматизатор Python;Москва;Дэстэн Партнерс;70000.0;1;176.0
Главный специалист по безопасности LLM;Москва;Лоция;;3;176.0
Аналитик / Эконометрист;Москва;OMD OM Group;;1;176.0
SDET Python (KESL);Москва;Лаборатория Касперского;;3;176.0
Backend разработчик middle+/senior (Python);Москва;РУСАЛ;;3;176.0
Python-разработчик;Челябинск;Лидер Екатерина Сергеевна;95000.0;1;176.0
Ведущий инженер-тестировщик;Москва;ДИКСИ, группа компаний;;3;176.0
Trainee Python in Odoo;Минск;Team.Inno / Фабрика инноваций и решений;;1;132.0
QA Тестировщик (автоматизация);Москва;ФАЙВДЖЕН;150000.0;1;176.0
Machine Learning Engineer;Алматы;Kolesa (АО Колеса);187500.0;1;176.0
Аналитик отдела анализа, планирования и бюджетирования;Москва;Аэроэкспресс;;3;176.0
Тимлид команды разработки;Москва;SW Development;450000.0;6;176.0
Сетевой инженер;Москва;НПП Исток им. Шокина;;1;176.0
Tools Developer (Unreal Engine);Москва;Леста Игры;;6;198.0
Middle Python-разработчик;Санкт-Петербург;ДОСТАЕВСКИЙ;170000.0;1;176.0
Инженер-программист С++;Астана;Dynamics Scientific;;3;176.0
