name;area;employer;salary;experience;monthly_hours
Электросварщик ручной сварки ТЭЦ-14;Санкт-Петербург;ТГК-1;88131.0;1;176.0
Электрогазосварщик;Иркутск;УРАНГЕО;100000.0;1;286.0
Сварщик;Екатеринбург;Уралхиммаш;120000.0;1;180.0
Электросварщик РДС (м. Дыбенко, м. Рыбацкое);Санкт-Петербург;Инжиниринговый холдинг «эВ-групп»;155500.0;3;220.0
Электрогазосварщик;Владимир;НПО Магнетон;75000.0;1;176.0
Электрогазосварщик 5-6 разряд;Санкт-Петербург;ГТНС;150000.0;1;176.0
Электросварщик на полуавтоматических машинах;Саратов;Саратовский Завод РМК;115000.0;1;176.0
Электрогазосварщик на полуавтомат (г.Белгород);Белгород;Арматех;85000.0;1;176.0
Электрогазосварщик ручной сварки 5 разряда, РММ;Благовещенск (Амурская область);Атлас Майнинг;93480.0;1;242.0
Электрогазосварщик;Сыктывкар;Промтехсервис;170000.0;1;286.0
Сварщик;Иркутск;Веслополова Анна;150000.0;3;
Электрогазосварщик/Газорезчик;Видное (Московская область);Сантехкомплект, Компания;120000.0;1;176.0
Сварщик электродом и п/автоматом (в г. Выкса);Нижний Новгород;Химнефтекомплект;210000.0;3;260.0
Сварщик аргонщик;Серпухов (Московская область);ПК Инжиниринг;125000.0;1;176.0
Сварщик;Тула;ТТС;126500.0;3;176.0
Сварщик 4-6 разряда (РД ТТ, РД МК, РАД, АиПАМ);Ульяновск;Газстройпром;;1;299.0
Электрогазосварщик;Ревда (Свердловская область);Среднеуральский Медеплавильный Завод;85000.0;1;176.0
Сварщик;Новосибирск;СибПроф Металл;100000.0;1;176.0
Сварщик;Омск;СМТ СБ;90000.0;1;176.0
Электросварщик ручной сварки;Рязань;Каркас-Стандарт;91000.0;1;220.0
Электрогазосварщик;Болхов;Черкизово, Группа предприятий;76000.0;0;176.0
Электросварщик;Москва;Театральные Технологические Системы;100000.0;1;176.0
Электрогазосварщик трубопровода ( 5 разряда);Москва;Правительство Москвы;118000.0;1;150.0
Сварщик-аргонщик;Нефтеюганск;МобилБетон;360000.0;3;220.0
Электрогазосварщик универсальной сварки 5-6 разряд (Египет);Санкт-Петербург;Акционерное общество «Энергоспецмонтаж» (Инжиниринговый дивизион Госкорпорации «Росатом»);235000.0;1;234.0
