group_1,group_2,mean_rank_1,mean_rank_2,z,p_raw,p_adj,correction,significant
0,1,140.7797619047619,261.6391585760518,-5.192715967370537,2.0724824123318698e-07,4.1449648246637397e-07,Holm,True
0,3,140.7797619047619,441.7330097087379,-12.290366317611767,1.0204257372110202e-34,5.102128686055101e-34,Holm,True
0,6,140.7797619047619,556.625,-12.743622850670045,3.383121566391608e-37,2.0298729398349646e-36,Holm,True
1,3,261.6391585760518,441.7330097087379,-10.585214404550964,3.489808792737044e-26,1.0469426378211132e-25,Holm,True
1,6,261.6391585760518,556.625,-10.737904348738056,6.756053668067835e-27,2.702421467227134e-26,Holm,True
3,6,441.7330097087379,556.625,-4.030493911900238,5.565977071300128e-05,5.565977071300128e-05,Holm,True
