experience,n,mean,std,median,min,max,sem,ci95_low,ci95_high
0,84,81029.79166666667,60023.84545334694,75000.0,900.0,400000.0,6549.138459340317,68193.48028635966,93866.10304697369
1,309,124290.28964401294,70237.33473346262,114942.5,875.0,550000.0,3995.6623691799205,116458.79140042029,132121.78788760558
3,206,211370.4110436893,95119.0544529828,200000.0,950.0,550000.0,6627.258552559523,198380.98428067262,224359.83780670597
6,56,310908.9285714286,110002.59050963829,302000.0,95000.0,585000.0,14699.7144765949,282097.48819730256,339720.3689455546
Всего,655,162084.59034351146,103993.30164665706,140000.0,875.0,585000.0,4063.3545325331156,154120.41545974655,170048.76522727637
