name;salary;experience;company;region;monthly_hours
Программист backend Python;275000.0;3;НПЦ СпецЭлектронСистемы;Москва;176.0
Python-разработчик;127500.0;1;Алабуга, ОЭЗ ППТ;Москва;176.0
Tech lead Python;;6;АЙФЭЛЛ;Москва;176.0
Backend-разработчик/Middle Python;;3;Про Хелс Маркетинг;Минск;176.0
Python-разработчик (Данные и автоматизация);;1;Банк ДОМ.РФ;Москва;176.0
Fullstack developer Python (Flask), Vue;115000.0;1;УЦ Профстандарт;Новосибирск;176.0
Backend-разработчик Python (Junior);112500.0;0;Алабуга, ОЭЗ ППТ;Казань;176.0
Senior Python Developer;260000.0;6;ТаймВэб;Санкт-Петербург;176.0
Системный инженер Linux / Python разработчик;310000.0;1;VPNM (Тихонов Денис Олегович);Москва;176.0
Middle fullstack (python/vue) developer/Fullstack-разработчик (python/vue);;3;Арнест ЮниРусь;Казань;176.0
Senior Backend-разработчик (Python);300000.0;3;ТАРГЕТ АДС;Москва;176.0
Python Middle/Senior разработчик;150000.0;3;Digital Silk Road Company;Астана;176.0
Разработчик информационных систем на Oracle/Python;175000.0;3;АНОВО МОСКОВСКИЙ МЕЖДУНАРОДНЫЙ УНИВЕРСИТЕТ;Москва;176.0
Младший специалист отдела разработки (Python) / Специалист по парсингу данных;70000.0;1;MillionAgents;Москва;176.0
Senior backend Go/python;337500.0;3;QData;Астана;176.0
Manual / Automation QA Engineer (Python);;1;Валун Софт;Минск;176.0
Python разработчик;180000.0;1;Fortech;Санкт-Петербург;176.0
Ведущий программист Python (внутренняя разработка);;6;Postgres Professional;Москва;176.0
Программист Python;;6;ГК «ХайТэк»;Москва;176.0
Fullstack разработчик (Python / FastAPI);;3;СИСТЭМ ЭЛЕКТРИК;Самара;176.0
Python-разработчик;;3;Т-Банк;Москва;176.0
Python-разработчик;;3;the_covert;Тбилиси;176.0
Junior Python-разработчик (Аналитика данных);;1;АНО АЦГ;Нижний Новгород;176.0
Junior Аналитик (SQL, Python);;1;Россельхозбанк;Москва;176.0
Python Developer (Middle+);;3;Водород;Минск;176.0
Database Developer / Architect (PostgreSQL, Python);265000.0;3;Dex;Москва;
Python-разработчик (финтех);200000.0;3;СЕТТЕ;Москва;176.0
Python-разработчик;;1;КСК-Эйч Ар;Воронеж;
Lead Python-разработчик;;6;СБЕР;Москва;176.0
Senior Data Engineer (ClickHouse, Python);;6;Новео;Астана;176.0
Senior Python developer (GigaBus);;6;СБЕР;Москва;176.0
Python-разработчик / Junior Developer;;0;Интрейс Групп;Москва;
Backend Developer (Python + PHP) / AI-first;;1;СП Солюшен;Москва;187.0
Разработчик-преподаватель компьютерных курсов (Python/HTML & CSS/C#/C++) г. Колпино;60000.0;0;Компьютерная академия TOP (Компьютерная Академия ТОП);Колпино;88.0
Python-разработчик (middle+/senior);;3;ДИКСИ, группа компаний;Москва;176.0
QA Automation (Python);;3;Spice IT;Москва;176.0
Backend разработчик Python;170000.0;1;BND LLC;Москва;176.0
Python-разработчик;305000.0;3;AYA Group;Москва;176.0
Senior Python developer;;3;ROGII;Сербия;176.0
Разработчик python;;1;Банк Акцепт;Новосибирск;176.0
