                                                                                                name     salary  experience                                                                                                                           company                                region  responses
                                                                  Senior Python Developer GenAI Team        NaN           3                                                                                                                           Домклик                                Москва        283
                                                                                  Python-разработчик        NaN           3                                                                                                                        Плейспартс                             Волгоград         16
                                                                                  Python-разработчик        NaN           1                                                                                                                    Интернет вещей                              Тольятти         12
                                                                                  Python-разработчик    60000.0           0                                                                                                                Прокат инстурмента                                 Пермь        191
                                              Старший инженер по автоматизации тестирования (Python)        NaN           3                                                                                                                         БЮРО 1440                                Москва         15
                                                                                  Python-разработчик        NaN           3                                                                                               ТЕХНОЛОГИИ ОТРАСЛЕВОЙ ТРАНСФОРМАЦИИ                                Москва         13
                                                       AI-разработчик (Python / Go / PHP / Frontend)        NaN           1                                                                                                                        СП Солюшен                                Москва        752
                                                                                    Python developer        NaN           3                                                                                                                      Планетарий 1                       Санкт-Петербург         13
                                                        Python / AI Developer (GenAI & Data Systems)        NaN           3                                                                                                                 Аренадата Софтвер                                Москва          0
                                               Middle Python Developer (Django / Highload / Product)   180000.0           3                                                                                                                       Photo Point                              Оренбург        513
                                             Al- разработчик ботов / Full-Stack разработчик (Python)   100000.0           1                                                                                                                         Блэкмедиа                                Москва         12
                                                                                  Python-разработчик   200000.0           1                                                                                                         Финансово-правовой альянс                       Санкт-Петербург          0
                                                  Full-stack разработчик (Python/React) в команду AI   140000.0           1                                                                                                        Этажи Федеральная компания                                Тюмень          0
                                                                                  Python-разработчик        NaN           3                                                                                                                        the_covert                               Тбилиси          0
                                                   Стажер по направлению "Автотестирование (Python)"        NaN           0                                                                                                                          ИнфоТеКС                                 Томск          0
                                                        Python-разработчик в команду Computer Vision        NaN           3                                                                                                                              2ГИС                                Москва        308
                                                     Senior Python разработчик в команду Data Mining        NaN           6                                                                                                                              2ГИС                                Москва         18
                                 Data Engineer / ELT Developer Дата-инженер / ELT python разработчик        NaN           3                                                                                                                         СБК Парус                                Москва        424
                                                                             Senior Python Developer        NaN           6                                                                                                                      Evercode Lab                       Санкт-Петербург          0
                                                                             Middle Python Developer        NaN           3                                                                                                                      Evercode Lab                                Москва          0
                                                                             Senior Python Developer        NaN           6                                                                                                                      Evercode Lab                                Москва          0
                                                                             Middle Python Developer        NaN           3                                                                                                                      Evercode Lab                       Санкт-Петербург          0
                           Python разработчик/Fullstack-разработчик в сервис Аналитики маркетплейсов    85000.0           1                                                                                                      Григорьев Вячеслав Романович                               Воронеж         13
                                         Python разработчик / автоматизация веб-процессов (Selenium)   175000.0           1                                                                                                     Ларионов Алексей Владимирович                           Новосибирск        132
                                                                                     Python Engineer        NaN           0                                                                                                                      SpectrumData                          Екатеринбург          8
                                                                         Python разработчик (Senior)        NaN           6                                                                                   Международный Научно-Технологический Центр Миэт                            Зеленоград        648
                       Младший специалист отдела разработки (Python) / Специалист по парсингу данных    70000.0           1                                                                                                                     MillionAgents                           Владивосток        917
                       Младший специалист отдела разработки (Python) / Специалист по парсингу данных    70000.0           1                                                                                                                     MillionAgents                                Москва        648
                                                                               Python/AI разработчик        NaN           3                                                                                                                       Инсейлс Рус                                Москва         13
                                                                         Python разработчик (SberOS)        NaN           3                                                                                                                              СБЕР                                Москва         14
                                                                         Разработчик Python (Middle)   130000.0           1                                                                                                 Единая Информационная Система ЖКХ                       Санкт-Петербург        306
                                                                   Python Developer (Infrastructure)        NaN           3                                                                                                                        Леста Игры                                Москва        111
                                                                Senior Python Developer (AI Backend)        NaN           3                                                                                                                      Бридж Тревел                                Москва        382
                                                                           Python разработчик middle   120000.0           1                                                                                                                          AppEvent                        Ростов-на-Дону       1804
                                 Преподаватель программирования в онлайн-школу (Python, Unity, HTML)    75000.0           0                                                                                                                          EasyCode                             Челябинск         57
                                 Преподаватель программирования в онлайн-школу (Python, Unity, HTML)    75000.0           0                                                                                                                          EasyCode                                   Уфа         71
                                                                           Senior Python-разработчик   275000.0           6                                                                                                                       Live Typing                                Москва         14
                                                                            Software Engineer Python   270000.0           3                                                                                                                         DIGITCORE                                Москва        267
                                                                         Python-разработчик (Django)   150000.0           1                                                                                                                             Shtab                       Санкт-Петербург        389
                                                                          Python Backend-разработчик        NaN           6                                                                                                                          Standfin                       Нижний Новгород         12
                                                                               Техлид python backend   350000.0           6                                                                                                         Чубатюк Никита Васильевич                                Москва         94
                                                                   Python Developer — Infrastructure     2900.0           3                                                                                                                    AbeloHost B.V.                                Москва       1065
                                                    Python engineer/Python-разработчик (AI GEN Team)        NaN           3                                                                                                               EWA Learn Languages                                Другое        512
                                                   Преподаватель программирования для детей (офлайн)    40000.0           1                                                                                                        Белоусов Михаил Алексеевич      Котельники  (Московская область)         12
                                                                          Стажер-разработчик бэкенда        NaN           0                                                                                                                            Яндекс                                Москва          0
                                                                        Data Scientist / ML Engineer        NaN           1                                                                                                                   АПТЕКИ ВАША № 1                                Москва        193
                                                                               Техлид python backend   350000.0           6                                                                                                         Чубатюк Никита Васильевич                                Москва         94
                                                                   Python Developer — Infrastructure     2900.0           3                                                                                                                    AbeloHost B.V.                                Москва       1065
                                                    Python engineer/Python-разработчик (AI GEN Team)        NaN           3                                                                                                               EWA Learn Languages                                Другое        512
                                                                        Python-разработчик (Middle+)        NaN           3                                                                                                                     Globerce Inc.                                Алматы         13
                                                                             Senior Python Developer        NaN           6                                                                                              Филиал компании Лист Ренталс Лимитед                                Москва        857
Наставник по автоматизации тестирования (Java / Python / JavaScript) в онлайн-школу программирования        NaN           3                                                                                                                           Хекслет                                Москва         12
                                                                             Lead Python-разработчик        NaN           6                                                                                                                              СБЕР                                Москва          0
                                                                           Senior Python-разработчик        NaN           3                                                                                                                              СБЕР                                Самара          0
                                                                      Senior Python Backend Engineer   700000.0           3                                                                                                                    K-Line Network                                Астана         64
                                                                          Backend разработчик Python   170000.0           1                                                                                                                           BND LLC                                Москва        976
                                                                               AQA Python специалист        NaN           3                                                                                                                              СБЕР                                Москва         12
                                                                Python backend (FastAPI) разработчик        NaN           3                                                                                                                            АМИКОН                                Москва        480
                                                                           Senior Python разработчик        NaN           3                            Федеральное автономное учреждение Государственный Научно-Исследовательский Институт Авиационных Систем                                Москва        583
           Старший инженер по автоматизации тестирования (Python), Маркетплейс, Заказы в ЛК продавца        NaN           3                                                                                                                              Ozon                                Москва         12
                                                                                  Python-разработчик        NaN           1                                                                                                                        КСК-Эйч Ар                               Воронеж        335
                                                        Python разработчик (неоплачиваемая практика)        NaN           0                                                                                                                       Газпром ЦПС                       Санкт-Петербург         13
                                                                            Python backend developer   150000.0           1                                                                                                    Маркетинговое агентство PRO M8                                Москва        835
                                                                                    Team Lead Python        NaN           6                                                                                                                              СБЕР                                Москва         12
                                           Python-разработчик (со срочным выходом в течении 3 дней!)        NaN           3                                                                                                                        ИЦ АЙ-ТЕКО                                Москва         17
                                                                                    Team-lead Python        NaN           6                                                                                                                            АЙФЭЛЛ                                Москва         12
                                                                     Senior Python разработчик / CTO   300000.0           6                                                                                                                      Pet Match AI                                Москва         39
                                                                 Senior Backend-разработчик (Python)   300000.0           3                                                                                                                        ТАРГЕТ АДС                                Москва        812
                                                       Разработчик программного обеспечения (Python)        NaN           1                                                                                                       Конструкторское бюро Луггар                           Новосибирск         12
                                                                   Python Backend-разработчик (офис)        NaN           6                                                                                                                          Standfin                        Ростов-на-Дону         12
                                                 Database Developer / Architect (PostgreSQL, Python)   265000.0           3                                                                                                                               Dex                                Москва       1029
                                                                 Младший (junior) программист Python    57900.0           0                                                                                                          Интеллектуальные системы                               Воронеж          0
