name;salary;experience;company;region;responses
Java-разработчик;75000.0;1;Удовиченко Анастасия Александровна;Краснодар;48
Инженер по автоматизированному тестированию (Java);;1;Компания БКС;Москва;13
Java developer_Junior+;;1;СОЛВО;Санкт-Петербург;0
Java-разработчик;;3;М.Видео-Эльдорадо;Москва;28
Java-разработчик;;3;MasterSCADA;Москва;1
Java-разработчик;;3;Фьюжн;Москва;20
Full-stack Java разработчик;167000.0;3;ФГБУ НЦЭСМП Минздрава России;Москва;0
Java developer;;1;ФоксТри;Минск;199
Java-разработчик;287400.0;6;Datanomica;Москва;803
Java Developer;;3;Смартек;Тула;0
Junior Java Developer;85000.0;0;Гуфо;Москва;1064
Программист Java Отдела разработки клиентских систем;;1;Кубань Кредит, КБ;Краснодар;0
Senior Java Developer;;3;ИП ООО SIGMA SOFTWARE TASHKENT;Ташкент;432
Программист Java Отдела разработки клиентских систем;;1;Кубань Кредит, КБ;Краснодар;0
Senior Java Developer;;3;ИП ООО SIGMA SOFTWARE TASHKENT;Ташкент;432
Kotlin/Java dev;;3;ЮДС Медиа;Санкт-Петербург;106
Senior java developer (ДИТ B2C);;3;СБЕР;Москва;13
QA Automation Engineer (Java);;3;Spotware Systems Ltd;Кипр;89
Senior Java-разработчик;;6;СОГАЗ;Москва;12
Инженер по универсальному тестированию (ручное + java);;1;IBS;Санкт-Петербург;0
Middle+/Senior Java Developer (офис, Бишкек);247000.0;3;VELES.FINANCE;Бишкек;110
Руководитель разработки/Team lead (Java/Kotlin);;3;Лемана ПРО;Москва;204
Team Lead Java;;3;Центр Новых Финансовых Сервисов;Москва;0
Java Developer (Middle);;1;Новаком Групп;Минск;407
Senior FullStack QA (Java), финтех;;6;SkillStaff;Москва;0
Тестировщик Java/AQA Java (стажер);;0;Aston;Ростов-на-Дону;34
Java Team lead;500000.0;6;Доксинбокс;Москва;0
Стажер по нагрузочному тестированию / QA trainee (Java);;0;Bell Integrator;Москва;12
Middle Java Разработчик;;3;Ященко Ярослав Константинович;Москва;248
Java Developer (Middle+);;3;БАНК УРАЛСИБ;Москва;136
Backend Java developer;;6;Аффимоб;Москва;610
Senior Java Developer;;3;СБЕР;Москва;12
Java backend разработчик;;3;Микрофинансовая организация Шинхан Финанс;Алматы;11
Java/Kotlin Engineer;155800.0;1;Софтнетикс;Минск;351
Java-разработчик (НСУ);;3;Геоскан;Санкт-Петербург;315
Java разработчик AppSec Registry (middle/senior);;3;Swordfish Security;Москва;28
Senior Automation Engineer Java (разработка АБС для Индийского филиала);;3;СБЕР;Москва;12
Middle Java Developer;;3;Лоция;Москва;513
Java разработчик (продукт GitFlic);;3;Группа компаний Астра;Москва;12
Senior Java разработчик;300000.0;3;Про.Потолок;Москва;129
Java Developer (Senior);;3;АО ANOR BANK;Ташкент;12
Senior Java разработчик (Platform V Works::DPM);;3;SberTech;Москва;13
Программист-разработчик Java;80000.0;1;Информационные системы;Екатеринбург;13
Java-разработчик;;6;Т-Банк;Воронеж;0
Back-end Developer - Java, Kubernetes (Middle/Middle+);127500.0;3;Частная компания Global DTC Kazakhstan;Алматы;12
Senior Java Developer, AWS;418000.0;6;COMTEK Inc.;Алматы;588
Java Developer;;3;HALYK FINANCE, дочерняя организация АО Народный банк;Алматы;13
Java разработчик;;3;Слюсарь Михаил Анатольевич;Сыктывкар;135
Java Backend Developer (Mid);;3;Скандрайв;Москва;1215
Java-разработчик;;1;UNITEL LLC;Ташкент;0
Java-разработчик;;3;Emphasoft;Батуми;14
Senior Backend Java Developer;285000.0;6;Креатик Софт;Новосибирск;153
QA Automation Engineer (Java);;3;Центральный банк Российской Федерации (Банк России);Казань;0
Инженер по автоматизированному тестированию Java (middle +, senior);;3;edna;Москва;0
Java Developer;;1;Team.Inno / Фабрика инноваций и решений;Витебск;12
QA Engineer Java / Инженер-тестировщик Java (ученик);;0;Aston;Казань;12
Тестировщик-автоматизатор / AQA (Java);220000.0;3;В Кадре;Москва;12
Java Developer (Middle +);135000.0;3;МФО Деньги говорят;Алматы;163
Java разработчик;;3;Т-Банк;Томск;0
Senior Java Developer (fintech);;3;АйтиСФ;Новосибирск;0
QA - engineer Auto Java/Manual (Йошкар-Ола);165000.0;3;МОНЕТА;Йошкар-Ола;113
Middle Java Developer (ОФИС);200000.0;3;ИЦ АЙ-ТЕКО;Москва;0
Middle Backend developer (Java);;3;NETTOSOFT;Ташкент;0
QA - engineer Auto Java/Manual (Йошкар-Ола);165000.0;3;МОНЕТА;Йошкар-Ола;113
Middle Java Developer (ОФИС);200000.0;3;ИЦ АЙ-ТЕКО;Москва;0
Middle Backend developer (Java);;3;NETTOSOFT;Ташкент;0
Инженер-программист (Java developer);;3;ИВЦ Минфина;Минск;285
Java/Spring разработчик (Senior);;3;Agile Soft;Алматы;16
QA Automation Engineer (Java);;3;Qulix Systems;Минск;56
Java Backend Developer (Junior+/Middle-);120000.0;1;ИЦ АЙ-ТЕКО;Москва;0
Android-разработчик (Java, финтех);;3;ОсОО БиСи Кард Кыргызстан;Бишкек;12
QA Engineer Java (DRA);280000.0;1;Протей, НТЦ;Санкт-Петербург;13
Разработчик Java в Биллинг Маркета;;3;Яндекс;Москва;0
Java / Kotlin разработчик (Software Engineer);450000.0;1;Консалт Плюс;Москва;84
Senior Java Developer;;6;Лектон;Санкт-Петербург;451
Senior AQA (Java) в GigaChat;230000.0;6;СБЕР;Ростов-на-Дону;12
Senior java разработчик;250000.0;6;Бизнес Технологии;Санкт-Петербург;148
Наставник по автоматизации тестирования (Java / Python / JavaScript) в онлайн-школу программирования;;3;Хекслет;Москва;12
Team Lead Java;;6;СИГМА;Санкт-Петербург;93
Team Lead Java;;6;СИГМА;Москва;179
Senior Java разработчик (офис);;6;СБЕР;Москва;13
Тестировщик/Senior QA Engineer (Java);;1;Леон;Санкт-Петербург;0
Java Developer (Middle);;1;Jana Post;Алматы;380
SDET QA automation инженер (Java);;1;Центральный банк Российской Федерации (Банк России);Санкт-Петербург;0
Программист Android-разработчик (Java);;1;Картпэй;Уфа;227
Java разработчик-математик;;3;АНТ-Цифровые Сервисы;Санкт-Петербург;376
Senior Java Developer (Security & AI);;3;Just AI;Санкт-Петербург;0
Java Backend Developer (Uzbekistan only);163400.0;3;NASRIDDINOVA FARANGIZ SARDORJON QIZI;Ташкент;588
Senior Automation QA Engineer (Java);;3;Unisender;Москва;120
Java/Kotlin-разработчик в Финтех;;3;Яндекс;Москва;12
Главный Java-разработчик;;3;Aloqabank;Ташкент;12
Java-разработчик;;6;IT Холдинг Kazdream;Астана;0
Senior Java Developer (Fintech / Telegram WebApp);400000.0;6;DatsTeam;Москва;262
Middle Java/Kotlin Developer (Офис);200000.0;1;SpectrumData;Екатеринбург;72
Senior AQA-инженер (Java);;3;СБЕР;Москва;12
Java разработчик AppSec Track (middle+/senior);;3;Swordfish Security;Москва;385
Java-разработчик;;3;Народный банк Казахстана;Алматы;0
Java/Kotlin Developer (Spring);198000.0;3;ITACWT;Санкт-Петербург;130
Senior fullstack java developer;250000.0;6;Бизнес Технологии;Санкт-Петербург;172
Java-разработчик (Middle / Senior);;3;Студия Т_Г;Нижний Новгород;316
Java Developer (Junior+/Middle);;1;Мобикон-Медиа;Минск;284
Java разработчик в продуктовое направление RnD (Офис);;1;Норд Клан;Ульяновск;0
Senior Kotlin/Java Developer (Knowledge Hub Team);;6;Just AI;Санкт-Петербург;0
QA Automation Engineer (Java);;1;Andersen;Минск;12
Automation QA-Engineer Java/Python/C# (GameDev);;0;Gear Games;Санкт-Петербург;213
Java-разработчик;;1;Т-Банк;Рязань;0
Java-инженер / Backend Engineer с алгоритмическим мышлением;;3;Khan Group;Алматы;34
QA Fullstack (со специализацией на API-тестировании, Java);;3;Приорбанк;Минск;141
Test Automation Engineer | SDET | Middle+ | Python or Java;;3;Неткрэкер Текнолоджи Казахстан;Алматы;38
Java разработчик (продукт «Единый клиент»);;3;HFLabs;Москва;2065
Java разработчик (ученик);67000.0;0;Aston;Воронеж;132
Java/Kotlin-разработчик в Финтех;;3;Яндекс;Санкт-Петербург;0
QA Engineer Automation (web: TS, Playwright or mobile: Java);;3;АЛЬФА-БАНК;Минск;810
Senior Java разработчик (Uzum Market);;6;«UZUM TECHNOLOGIES»;Санкт-Петербург;0
Senior Java разработчик (Uzum Market);;6;«UZUM TECHNOLOGIES»;Тбилиси;0
Java-разработчик (Middle);;1;HALYK FINANCE, дочерняя организация АО Народный банк;Алматы;0
Senior Java разработчик (Uzum Market);;3;«UZUM TECHNOLOGIES»;Ростов-на-Дону;13
Java разработчик/Java Developer (стажер);67000.0;0;Aston;Краснодар;93
Java-разработчик;471132.0;3;Физтех Дженезис;Москва;140
Java-разработчик;;3;СберПраво;Москва;12
Java-разработчик;;1;Смарт-Контакт;Тула;16
Java-разработчик;;1;ГК Орбита;Москва;127
Java TeamLead / Engineering Manager (Uzum Market);;6;«UZUM TECHNOLOGIES»;Москва;0
JAVA Developer;;6;РАСЧЕТНЫЕ РЕШЕНИЯ;Москва;0
Java-разработчик;;3;Национальный межбанковский процессинговый центр;Ташкент;12
QA Automation Engineer Java;;1;Перфоманс Лаб;Москва;0
Java разработчик (ученик);67000.0;0;Aston;Москва;211
Senior Java Developer;;6;«UZUM TECHNOLOGIES»;Екатеринбург;0
Tech Lead Backend (Java) - пишущий техлид, AI-first;460000.0;3;Amagasa;Москва;615
Java-разработчик;170000.0;3;ИЦ АЙ-ТЕКО;Санкт-Петербург;0
Java разработчик;;3;М.Видео-Эльдорадо;Москва;570
Lead Java;;6;X5 Tech;Москва;13
Тестировщик Java/AQA Java (стажер);;0;Aston;Санкт-Петербург;211
Java программист;;1;REALSOFT;Ташкент;0
Java разработчик/Java Developer (стажер);22500.0;0;Симплекс 2.0;Москва;102
Java бэкенд разработчик/ Java backend developer;;3;Марс;Москва;0
Senior Java Developer;;3;СБЕР;Москва;32
Java Backend Developer;;3;Бэнкс Софт Системс;Москва;17
QA Automation Engineer (Java);;1;Andersen;Тбилиси;12
Senior Java Developer;;3;М.Видео-Эльдорадо;Москва;15
Java-разработчик (Москва);;3;Bell Integrator Регионы;Москва;462
Java разработчик (middle);;3;Цифра;Москва;0
QA Automation Engineer Java (AQA Java);;1;Ростелеком;Москва;0
Java-разработчик (middle);180000.0;3;ГК Орбита;Москва;182
Java разработчик (ученик);67000.0;0;Aston;Челябинск;108
Java-разработчик;280000.0;3;Рефни;Москва;106
Senior Java Developer;;3;Team.Inno / Фабрика инноваций и решений;Витебск;0
Java Developer;;3;АКБ Агробанк;Ташкент;13
Middle+ / Senior инженер автоматизированного тестирования (AQA Java);160000.0;6;RedLab;Москва;0
Java разработчик / Java Developer;110000.0;1;Кадровое агентство HireWay;Москва;18
Junior Java-backend разработчик;128574.0;1;Лавринец Яна Станиславовна;Москва;309
QA Automation Engineer (Java);;1;Andersen;Алматы;12
Java-разработчик (junior+);;0;Лайт Вел Организейшн;Минск;12
Java-разработчик / Java engineer (Middle+ / Senior);;6;Леон;Санкт-Петербург;12
QA инженер (Java);;1;Центральный банк Российской Федерации (Банк России);Казань;13
Java-разработчик;;3;Ediweb;Белгород;18
Java-разработчик (Senior);;3;Maxim technology;Санкт-Петербург;358
Java developer (Middle+);;3;Инфосистемы Джет;Москва;18
Backend Developer (Java);;3;RDP.RU;Москва;133
Ведущий разработчик Kotlin/Java;;3;БФТ-Холдинг;Москва;0
Java разработчик (ученик);67000.0;0;Aston;Омск;138
Middle Java developer / Java-разработчик;;3;DIGITAL FUTURE SYSTEMS;Пермь;16
Java-разработчик;;1;hibirit;Воронеж;234
Junior/Middle Java Developer;;1;Team.Inno / Фабрика инноваций и решений;Витебск;0
Тестировщик Java/AQA Java (стажер);;0;Aston;Казань;179
Senior Fullstack QA Engineer (Java);;3;СберЗдоровье;Москва;13
QA Engineer Java/Инженер-тестировщик Java (ученик);;0;Aston;Москва;12
QA Lead Java;329500.0;6;ГК Орбита;Москва;12
Java разработчик;;3;Альфа-Банк;Москва;170
Senior Java Developer;;3;Тайгер Трейд;Москва;0
Младший Java-разработчик (Junior Java Developer);70000.0;0;Панина Анастасия Александровна;Москва;17
Java-разработчик;;3;Bereke Bank;Алматы;0
Разработчик Java Kotlin;;3;ДИКСИ, группа компаний;Москва;21
Java-разработчик;;3;Finstar Financial Group;Москва;19
Java-разработчик;120000.0;3;ИК Информсвязь-Черноземье;Воронеж;15
SAP BTP CAP Java Developer;;3;LeverX;Минск;12
Junior Java Developer (Belarus);;0;GP Solutions;Минск;99
Ведущий Java разработчик;;3;Альфа-Банк;Москва;16
Системный аналитик Java;200000.0;1;Снэп АйТи;Москва;142
Java-разработчик (стажер);7500.0;0;SanaUp;Астана;327
Java-разработчик;;3;ПУЛЬС АЙТИМ;Москва;692
Senior Java Developer;;6;Казарьянц Артур Эдуардович;Москва;144
Java-разработчик (Middle/Senior);;3;ВИРТУ СИСТЕМС;Москва;12
Java-разработчик;;3;Т-Банк;Сочи;0
Senior Java Developer (+TS);;3;DatsTeam;Москва;360
QA Automation Engineer Java;;1;Перфоманс Лаб;Москва;12
Senior Automation QA (Java);;6;IDT Technologies;Минск;12
Ведущий Java-разработчик, Инфраструктура данных;;6;Ozon;Москва;566
Senior Java / Kotlin Developer;;6;IT SCOUT(match);Сербия;16
Тестировщик Java/AQA Java (стажер);;0;Aston;Екатеринбург;288
Java-разработчик (middle+/senior);;3;Notamedia;Москва;15
Fullstack QA Engineer (Java / JS);;1;Центр финансовых технологий;Новосибирск;13
Разработчик ПО (Java);;3;БУЛАТ;Москва;341
Педагог дополнительного образования Java;31500.0;1;ГБОУ ДО СО СОЦДЮТТ;Самара;12
Backend Java Developer;;1;Elite Business Group;Алматы;0
Java Developer Middle/Senior;;3;OPEN BANK AJ;Ташкент;0
Junior backend developer (Java);;1;RDP.RU;Москва;18
QA Lead / Senior QA Engineer (Java, Performance, Healthcare/Insurance domain);;3;Team.Inno / Фабрика инноваций и решений;Минск;0
Java Developer (Lead);;6;ВЭБ Технологии;Минск;12
QA Engineer Java/Инженер-тестировщик Java (ученик);;0;Aston;Самара;13
Java enterprise developer;;6;Ediweb;Белгород;13
Junior Java Developer;;1;АРТ Логистик;Ярославль;25
Java Tech Lead;;1;Team.Inno / Фабрика инноваций и решений;Минск;33
Java-разработчик (инвестиции);;3;Альфа Капитал;Москва;128
Java Developer (Авткокредитование);;1;СБЕР;Ростов-на-Дону;103
Backend Developer (Java/Kotlin) для криптоплатформы;300000.0;3;Wanted;Москва;17
Старший Java разработчик;;6;Леон;Санкт-Петербург;0
Java Developer / Ментор;525000.0;3;Интеллектуал Групп;Санкт-Петербург;13
Java/Kotlin разработчик;180000.0;3;Kvando Technologies;Смоленск;0
Java-разработчик (CRM / Цифровая трансформация);;3;Сбер Бизнес Софт;Москва;254
Java Backend Developer;;3;Agile Soft;Алматы;13
Middle Java разработчик;;1;HRlink;Санкт-Петербург;0
Java-разработчик (Офис);;1;Диджитал Сектор Поддержка;Краснодар;0
Java/Kotlin (C++) разработчик (Middle);;1;ЛАНИТ;Москва;12
Entry Level Java Developer;68400.0;0;HUMAN AND CAPITAL;Ташкент;0
Middle+\Senior Java Engineer;;6;КейДев;Минск;443
Java-разработчик (команда Sputnik);;3;HeadHunter;Москва;15
QA Automation Engineer (Java);;3;АЙФЭЛЛ;Минск;116
Ведущий Java-разработчик в VK;;6;VK;Москва;0
Java-разработчик (космические аппараты);;3;Геоскан;Санкт-Петербург;14
Ведущий backend-программист (python/Java);;3;ЦРТ | Группа компаний;Санкт-Петербург;86
Middle+/Team Lead Java-разработчик;;3;ФГАОУ ВО РОССИЙСКИЙ НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ им.Н.И. ПИРОГОВА МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ;Москва;0
Middle Software Engineer (Java);;3;Ipotekabank OTP Group;Ташкент;13
Senior Java / Kotlin backend разработчик;;3;Galileosky;Пермь;0
Senior Java разработчик;;6;Школа 21;Москва;0
Senior Java developer;;6;РТЛабс;Москва;0
Java-разработчик (middle);;3;Технократия;Казань;17
Java Developer (Екатеринбург);;3;Центральный банк Российской Федерации (Банк России);Екатеринбург;15
Java-разработчик Senior;;6;Ай Девелоп Ит;Москва;411
Test Automation Engineer | SDET | Middle+ | Python or Java;;3;Неткрэкер Текнолоджи Казахстан;Алматы;5
Java-разработчик (Junior);;0;Инфомаксимум;Саранск;12
Fullstack Java разработчик;;3;Транснефть-Технологии;Москва;0
Ведущий разработчик Java;;6;БФТ-Холдинг;Москва;184
Senior Java developer;456000.0;6;COMTEK Inc.;Сербия;15
Lead Java Developer;;6;Napoleon IT;Москва;141
Java Software Engineer;;1;Kaspi.kz;Алматы;12
Senior Backend разработчик Java/Kotlin;;6;Okko;Санкт-Петербург;0
Senior Java Engineer (JavaSE, algorithms, optimization);380000.0;6;BrainShells;Москва;12
Java - интерн;;0;Народный банк Казахстана;Алматы;156
Java-Разработчик;250000.0;3;Цифровые привычки;Москва;348
Java-разработчик;;3;МЕТАШАРКС;Москва;252
Технический руководитель продукта (Stream CTO, Java);;3;edna;Москва;0
Lead QA Automation Engineer (Java);;6;USETECH;Москва;12
Java-разработчик;;3;Центр-инвест, коммерческий банк;Ростов-на-Дону;26
Java-разработчик;;1;Т-Банк;Ижевск;4
QA Automation Engineer (Java) mobile;;3;Юзтех Бел;Минск;156
Senior Java Developer (Kotlin);400000.0;3;Demis Group;Москва;15
Java developer;;1;Народный банк Казахстана;Алматы;68
Java Developer;;6;Правительство Москвы;Москва;143
Senior Java Developer (Офис, Ташкент);;3;АКБ Агробанк;Ташкент;12
